covalent,non_covalent
0692,0072
0692,0104
0692,0195
0692,0305
0692,0387
0692,0397
0692,0434
0692,0946
0692,1249
0708,0072
0708,0104
0708,0161
0708,0195
0708,0305
0708,0387
0708,0434
0708,0874
0708,1249
0770,0072
0770,0104
0770,0305
0770,0387
0770,0395
0770,0397
0770,1249
0830,0072
0830,0104
0830,0195
0830,0305
0830,0387
0830,0434
0830,1249
0831,0072
0831,0195
0831,0305
0831,0397
0831,0434
0831,1249
1334,0397
1334,1077
1382,0072
1382,0104
1382,0305
1382,0387
1382,0395
1382,0874
1382,1093
1382,1249
1384,0397
1385,1077
1386,0072
1386,0195
1386,0305
1392,0072
1392,0395
1392,0434
1392,1249
1412,0395
1412,0397
1418,0072
1418,0195
1418,0305
1418,0387
1418,0397
1418,0434
1478,0397
