SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score,scaffold,scaffold_generic
NC(=O)[C@@H]1CCCN1c1ccccc1CN1CCN(CC1)C(=O)C,DUN-NEW-f8c-2,89_NCL.0,4,"x0769,x0691,x1402,x0755",1403.538497635178,c1ccc(N2CCCC2)c(CN2CCNCC2)c1,C1CCC(CC2CCCCC2C2CCCC2)CC1
NC(=O)[C@@H]1CCCN1c1ccccc1CN1CCN(CC1)C(=O)CC,DUN-NEW-f8c-2,89_NCL2ACR.0,0,,951.5978475935159,c1ccc(N2CCCC2)c(CN2CCNCC2)c1,C1CCC(CC2CCCCC2C2CCCC2)CC1
NC(=O)[C@@H]1CCCN1c1ccccc1N1CCN(CC1)C(=O)C,DUN-NEW-f8c-3,90_NCL.0,0,,1349.652187043201,c1ccc(N2CCNCC2)c(N2CCCC2)c1,C1CCC(C2CCCCC2C2CCCC2)CC1
NC(=O)[C@@H]1CCCN1c1ccccc1N1CCN(CC1)C(=O)CC,DUN-NEW-f8c-3,90_NCL2ACR.0,0,,1562.5981584763265,c1ccc(N2CCNCC2)c(N2CCCC2)c1,C1CCC(C2CCCCC2C2CCCC2)CC1
CS(=O)(=O)NCC[C@H]1[C@H]2[N@@H+](CC(=O)C[C@H]3CCCNC3)C[C@H](CCNC(=O)CC)[C@@H]2CCC1,DUN-NEW-f8c-5,92_ACL2ACR.0,0,,1010.307486755975,O=C(CC1CCCNC1)C[NH+]1CCC2CCCCC21,CC(CC1CCCCC1)CC1CCC2CCCCC21
CS(=O)(=O)NCC[C@H]1[C@@H]2[N@H+](CC(=O)C[C@@H]3CCCNC3)C[C@H](CCNC(=O)C)[C@@H]2CCC1,DUN-NEW-f8c-5,92_ACL.0,0,,1148.7385494882526,O=C(CC1CCCNC1)C[NH+]1CCC2CCCCC21,CC(CC1CCCCC1)CC1CCC2CCCCC21
CCC(=O)NCC[C@@H]1C[N@H+](CC(=O)N[C@H]2C[NH2+][C@H]3NCCC[C@H]23)[C@@H]2CCCC[C@H]12,DUN-NEW-f8c-6,93_ACL2ACR.0,0,,1428.56253732442,O=C(C[NH+]1CCC2CCCCC21)NC1C[NH2+]C2NCCCC12,CC(CC1CCC2CCCCC21)CC1CCC2CCCCC21
CC(=O)NCC[C@H]1C[N@@H+](CC(=O)N[C@H]2C[NH2+][C@H]3NCCC[C@@H]23)[C@H]2CCCC[C@@H]12,DUN-NEW-f8c-6,93_ACL.0,0,,1320.4303534867759,O=C(C[NH+]1CCC2CCCCC21)NC1C[NH2+]C2NCCCC12,CC(CC1CCC2CCCCC21)CC1CCC2CCCCC21
CCC(=O)NCC[N@@H+]1C[C@H](CC(=O)N[C@@H]2C[NH2+][C@@H]3NCCC[C@H]23)[C@@H]2CCCC[C@H]12,DUN-NEW-f8c-7,94_ACL2ACR.0,0,,1340.9302875566455,O=C(CC1C[NH2+]C2CCCCC12)NC1C[NH2+]C2NCCCC12,CC(CC1CCC2CCCCC21)CC1CCC2CCCCC21
CC(=O)NCC[N@H+]1C[C@@H](CC(=O)N[C@H]2C[NH2+][C@@H]3NCCC[C@H]23)[C@H]2CCCC[C@@H]12,DUN-NEW-f8c-7,94_ACL.0,0,,1501.8599866349425,O=C(CC1C[NH2+]C2CCCCC12)NC1C[NH2+]C2NCCCC12,CC(CC1CCC2CCCCC21)CC1CCC2CCCCC21
CCC(=O)NCC[C@H]1C[N@H+](CC(=O)N[C@@H]2CCCNC2)[C@H]2CCCC[C@@H]12,DUN-NEW-f8c-8,95_ACL2ACR.0,0,,1138.5498572517954,O=C(C[NH+]1CCC2CCCCC21)NC1CCCNC1,CC(CC1CCCCC1)CC1CCC2CCCCC21
CC(=O)NCC[C@@H]1C[N@H+](CC(=O)N[C@H]2CCCNC2)[C@@H]2CCCC[C@H]12,DUN-NEW-f8c-8,95_ACL.0,0,,1584.9246627171995,O=C(C[NH+]1CCC2CCCCC21)NC1CCCNC1,CC(CC1CCCCC1)CC1CCC2CCCCC21
